author,url,text,section,title,sub_title,date,_id
247 ,https://www.brasil247.com/pt/247/brasil/389236/Moro-tenta-'provar'-que-nova-conta-no-Twitter-%C3%A9-dele-mas-vira-piada.htm,"247 -  O ministro da Justiça e Segurança Pública, Sergio Moro, criou um perfil oficial no Twitter nesta quinta-feira (4). Mesmo com a conta verificada pela rede social, poucas horas depois, ele tentou provar que que o perfil era seu aos internautas. Postando uma foto com um calendário na mão, datando o mês de abril de 2019, Moro escreveu: ""Provando que esse twitter é meu mesmo (o que é um pouco inusitado)"". Pronto, a postagem virou piada e viralizou nas redes. ""Mas para provar, não seria o caso de usar um jornal do dia?"", escreveu Rodrigo Tacla Duran, ex-advogado da Odecrecht, que acusou Moro de receber valores indevidos através de um amigo para favorecer delatores da operação Lava Jato. O humorista Marcelo Adnet imitou o ministro, postando uma foto com o calendário aberto em junho. ""Vim do futuro. Posso provar!"", ironizou. O deputado federal e líder do PT na Câmara, Paulo Pimenta (RS), lembrou que ""não é pouco, é muito inusitado você provar alguma coisa"", em referência a condenação sem provas do ex-juiz no processo contra o ex-presidente Lula.    Vim do futuro. Posso provar!  pic.twitter.com/PruShYK40g não é pouco, é MUITO inusitado você PROVAR alguma coisa... 👀🌶️ Mas para provar, não seria o caso de usar um jornal do dia ?  https://t.co/CggYSmWwPV",brasil,"
        Moro tenta 'provar' que nova conta no Twitter é dele, mas vira piada
          ","Postando uma foto com um calendário na mão, datando o mês de abril de 2019, Moro escreveu: ""Provando que esse twitter é meu mesmo (o que é um pouco inusitado)""; o resultado foi um enxurrada se comentários e memes: o humorista Marcelo Adnet imitou o ministro, postando uma foto com o calendário aberto em junho. ""Vim do futuro. Posso provar!"", ironizou.",04/04/2019 19:00:00,
247 ,https://www.brasil247.com/pt/247/brasil/389233/Defesa-de-Lula-pede-ao-STF-urg%C3%AAncia-no-julgamento-de-habeas-corpus.htm,"247 -  A defesa de Lula apresentou pedido ao Supremo Tribunal Federal (STF) solicitando que o pedido de habeas corpus contra a condenação do ex-presidente no processo do tríplex em Guarujá (SP) seja julgado ""o mais breve possível"". O habeas corpus será apreciado pela 2ª Turma do Supremo. O pedido visa anular a decisão do ministro do Superior Tribunal de Justiça (STJ), Felix Fischer, que rejeitou o recurso de Lula em decisão monocrática, ou seja, apenas de um ministro, o que não é comum em casos de prisão. A defesa de Lula recorreu ao STF, argumentando que a decisão individual do ministro prejudicou o direito de defesa do ex-presidente. Eles pedem que a decisão de Fischer seja anulada e o julgamento do recurso contra a condenação seja refeito, desta vez pela 5ª Turma do STJ, formada por Fischer e outros quatro ministros. O julgamento do pedido no STF está previsto para acontecer nos dias 12 e 23 deste mês, pelo plenário virtual da 2ª Turma do Supremo. Os advogados pedem que seja antecipado e que seja presencial. No julgamento virtual, os ministros apresentam os votos no sistema eletrônico e não há sessão presencial para debater o caso. Lula está preso desde o dia 7 de abril do ano passado, após ser condenado pelo TRF-4 (Tribunal Regional Federal da 4ª Região) no processo do tríplex.",brasil,"
        Defesa de Lula pede ao STF urgência no julgamento de habeas corpus
          ","A defesa do ex-presidente Lula apresentou pedido ao Supremo Tribunal Federal (STF) solicitando o habeas corpus contra a condenação do ex-presidente no processo do tríplex do Guarujá (SP) seja julgado ""o mais breve possível""; a defesa sustenta que a decisão individual do ministro do STJ, Felix Fischer, que rejeitou o recurso em decisão monocrática,prejudicou o direito de defesa do ex-presidente",04/04/2019 18:04:00,
247,https://www.brasil247.com/pt/247/brasil/389191/Moro-vira-pol%C3%ADtico-de-vez-e-se-lan%C3%A7a-no-Twitter-mas-apanha-dos-internautas.htm,"247  - Para se comunicar diretamente com o público e, de certa maneira, driblar os jornalistas, o ministro da Justiça e Segurança Pública, Sérgio Moro, aderiu ao Twitter, a plataforma preferida do presidente Jair Bolsonaro. Agora, o ex-juiz assume de vez o seu perfil político. ""Resolvi aderir ao twitter pois é um instrumento poderoso de comunicação. A ideia é divulgar os projetos e as propostas do Ministério da Justiça e Segurança Pública"", escreveu o ministro na rede social. ""Nem sempre poderei estar por aqui, pois o trabalho é intenso, mas quando possível darei informações sobre as ações do Ministério"", acrescentou. Quero explicar aqui o projeto de lei anticrime, além das medidas executivas em andamento do Ministério"". De acordo com a pesquisa Atlas Político, feita com 2.000 pessoas entre os dias 1 e 2 de abril, o ministro tem mais popularidade que o presidente. Ao todo, 61,5% dos que participaram do levantamento tem uma imagem positiva do ex-juiz da Operação Lava Jato, e 49,5% tem imagem positiva de Bolsonaro. Reações Internautas reagiram com críticas aos posts de Moro. ""Podia explicar também cadê o Queiroz e as investigações do laranjal do PSL"", afirmou o deputado federal Jorge Solla (PT-BA). ""O sr. acha correto que este assessor do presidente movimente R$ 7 mi em três anos, receba salário dos laranjas, tenha claro envolvimento com milícias, e nada disso seja investigado?"", questionou. Outro perfil, O Pato Conje do Karl Marx #Lula Livre, escreveu: ""Se o conje atirar na conja e a conja atirar de volta no conje é escusável medo ou violenta emoção?"". Resolvi aderir ao twitter pois é um instrumento poderoso de comunicação. A ideia é divulgar os projetos e as propostas do Ministério da Justiça e Segurança Pública. Nem sempre poderei estar por aqui, pois o trabalho é intenso, mas quando possível darei informações sobre as ações do Ministério.  @JusticaGovBR Quero explicar aqui o projeto de lei anticrime, além das medidas executivas em andamento do Ministério. Podia explicar também cadê o Queiroz e as investigações do laranjal do PSL. O sr. acha correto que este assessor do presidente movimente R$ 7 mi em três anos, receba salário dos laranjas, tenha claro envolvimento com milícias, e nada disso seja investigado? Se o conje atirar na conja e a conja atirar de volta no conje é escusável medo ou violenta emoção?",brasil,"
        Moro vira político de vez e se lança no Twitter, mas apanha dos internautas
          ","Para se comunicar diretamente com o público e, de certa maneira, driblar os jornalistas, o ministro da Justiça e Segurança Pública, Sérgio Moro, aderiu ao Twitter, a plataforma preferida do presidente Jair Bolsonaro; agora, o ex-juiz assume de vez o seu perfil político; ""Resolvi aderir ao twitter pois é um instrumento poderoso de comunicação. A ideia é divulgar os projetos e as propostas do Ministério da Justiça e Segurança Pública"", disse; o Atlas Político apontou que a popularidade de Moro (61,5%) é maior que a do presidente (49,5%), o que não significa que ele terá vida fácil: ""Podia explicar também cadê o Queiroz e as investigações do laranjal do PSL"", escreveu o deputado Jorge Solla (PT-BA); confira os tweets",04/04/2019 12:45:00,
247,https://www.brasil247.com/pt/247/brasil/389224/Bolsonaro-%C3%A9-ridicularizado-na-Alemanha-por-associar-nazismo-%C3%A0-esquerda.htm,"247  - Alguns dos partidos mais tradicionais da história da Alemanha pós-Hitler atacam o presidente Jair Bolsonaro pela declaração de que o nazismo foi um movimento de esquerda - o chefe do Planalto manifestou sua posição após visita ao museu do Holocausto, o Yad Vashem, em Israel, na terça-feira (2). As entrevistas desta matéria foram concedidas ao  Blog de Jamil Chade . De acordo com a deputada do Partido Social-Democrata (SPD) Yasmin Fahimi, ""os nazistas também usaram o termo 'social' como uma máscara para seu real programa político"", disse Fahmi, que faz parte do Comitê de Relações Exteriores do Parlamento alemão"". ""O fato de Jair Bolsonaro estar usando a mesma estratégia de mentiras é uma ridicularização inaceitável das vítimas que foram mortas pelos nazistas. Durante a Alemanha Nazista, foram os sociais-democratas que foram presos e mortos, antes de mais nada"", continuou. A parlamentar afirmou que os ""nazistas foram demagogos fascistas de extrema-direita. Durante esse período, a Alemanha foi uma ditadura fascista, desumana e de ideologia racista. A declaração de Bolsonaro deprecia a memória de todas as vítimas assassinadas pela violência dos nazistas"". ""O movimento de esquerda, pelo contrário, lutou pela liberdade e pela igualdade de todos. Isso é o oposto do fascismo"", acrescentou. Heinz Bierbaum, chefe do Comitê Internacional do partido Die Linke, disse que ""Bolsonaro pode ser chamado de fascista"". ""Desprezando a democracia, as conquistas do Estado de Direito, ele ataca esquerda, LGBT, povos indígenas, afro-brasileiros, minorias e ativistas"", declarou. ""A esquerda de todo o mundo se levanta contra Bolsonaro e todo seu ódio"", afirmou. ""A história da Alemanha e o surgimento do Partido Nazista nos ensinam a resistir a ameaças do racismo e intolerância em sua origem"", criticou. Segundo ele, a declaração de Bolsonaro sobre a origem do nazismo é ""uma completa distorção dos fatos históricos"". ""Sem qualquer dúvida, o nazismo é um movimento fascista. Eles não foram responsáveis apenas pela morte de 6 milhões de judeus, mas também de 20 mil membros de partidos de esquerda"", declarou. ""Mais de 3 milhões de prisioneiros soviéticos morreram nas prisões na Alemanha durante a guerra"", insistiu, lembrando que a ofensiva nazista no mundo e sua ideologia anticomunista deixou como resultado 65 milhões de mortos"".  ",brasil,"
        Bolsonaro é ridicularizado na Alemanha por associar nazismo à esquerda
          ","Alguns dos partidos mais tradicionais da história da Alemanha pós-Hitler atacam o presidente Jair Bolsonaro pela declaração de que o nazismo foi um movimento de esquerda; de acordo com a deputada do Partido Social-Democrata (SPD) Yasmin Fahimi, o chefe do Planalto usar ""a mesma estratégia de mentiras é uma ridicularização inaceitável das vítimas que foram mortas pelos nazistas""; Heinz Bierbaum, chefe do Comitê Internacional do partido Die Linke, disse que ""Bolsonaro pode ser chamado de fascista""; ""Desprezando a democracia, as conquistas do Estado de Direito, ele ataca esquerda, LGBT, povos indígenas, afro-brasileiros, minorias e ativistas""",04/04/2019 16:45:00,
247,https://www.brasil247.com/pt/247/brasil/389192/Defesa-de-64-irrita-militares-que-pedem-sa%C3%ADda-de-V%C3%A9lez-do-MEC.htm,"247  - O ministro da Educação, Ricardo Vélez Rodriguez, enfrenta cada mais dificuldades de se manter no cargo e a defesa de mudança no conteúdo dos livros didáticos com o objetivo de passar a interpretação de que não houve golpe em 1964. De acordo com  reportagem de Igor Gielow , publicada no jornal Folha de S.Paulo, ""integrantes da ativa e do núcleo militar do governo Jair Bolsonaro que a afirmação feita na quarta (3) pelo ministro Ricardo Vélez sobre a narrativa histórica do golpe é apenas uma tentativa dele para manter-se no cargo. Eles farão chegar ao presidente Jair Bolsonaro que a paciência com o ministro acabou"". ""Isso porque os fardados, em sua maioria, compartilham a ideia de que o golpe militar que completou 55 anos no domingo passado (31 de março) foi um movimento decorrente de uma mobilização de parcela expressiva da população contra o que chamam de risco de tomada comunista do poder. A derrubada do governo de João Goulart e os subsequentes 21 anos de ditadura teriam de ser inseridos nessa visão, segundo essa interpretação"", destaca a matéria. Em entrevista ao jornal  Valor Econômico , Vélez negou o golpe de 1964. ""A história brasileira mostra que o 31 de março de 1964 foi uma decisão soberana da sociedade brasileira. Quem colocou o presidente Castelo Branco no poder não foram os quartéis"", disse. ""Foi a votação no Congresso, uma instância constitucional, quando há a ausência do presidente. Era a Constituição da época e foi seguida à risca. Houve uma mudança de tipo institucional, não foi um golpe contra a Constituição da época, não"", completou. O titular da pasta já está desgastado com as indicações que fez para cargos no ministérios. São mais de 10 demissões de funcionários da pasta. Uma polêmica recentes envolveu o presidente do Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira (Inep), Marcus Vinicius Rodrigues, que foi exonerado, após a publicação de uma portaria que adiava para 2021 a avaliação da alfabetização de crianças, o que foi revogado. O ex-dirigente afirmou que assinou a portaria com respaldo do secretário de Alfabetização do MEC, Carlos Nadalim. Em  entrevista  concedida ao jornal O Globo, Rodrigues afirmou que o ministro ""gerencialmente incompetente"" e ""não tem controle emocional"" para comandar a educação brasileira. Outra polêmica foi a permissão para a compra de livros com propagandas ou até mesmo erros de português. O edital foi anulado. Em fevereiro, Veléz também afirmou à Revista Veja que o brasileiro é um ""canibal"". ""Rouba coisas de hotéis, rouba o assento do salva-vidas do avião. Ele acha que sai de casa e pode carregar tudo"", afirmou. No final daquele mês, o ministro assinou uma carta para ser enviada a diretores de escolas pedindo a filmagem de crianças cantando o hino nacional e que proferirem o slogan da campanha de Bolsonaro - ""Brasil acima de tudo. Deus acima de todos"".",brasil,"
        Defesa de 64 irrita militares, que pedem saída de Vélez do MEC
          ","Declaração do ministro da Educação, Ricardo Vélez Rodriguez, sobre 1964 irritou militares; segundo eles, houve uma mobilização de parcela expressiva da população contra o que chamam de risco de tomada comunista do poder; O titular da pasta havia dito: ""foi a votação no Congresso, uma instância constitucional, quando há a ausência do presidente""",04/04/2019 13:06:00,
247,https://www.brasil247.com/pt/247/cultura/389134/Martn%C3%A1lia-algu%C3%A9m-pode-mandar-Nana-Caymmi-%C3%A0-merda.htm,"247 -  A cantora Mart'nália reagiu aos ataques e xingamentos que a cantora Nana Caymmi desferiu contra os cantores Caetano Veloso, Gilberto Gil e Chico Buarque, por defenderem a liberdade do ex-presidente Luiz Inácio Lula da Silva.  ""Alguém pode mandar a Nana Caymmi à merda? Pelo amor de Deus, manda à merda. Alguém manda ela à merda"", diz Mart'nália em vídeo que viralizou nas redes sociais. Em entrevista à Folha, Nana Caymmi defendeu Jair Bolsonaro e atacou seus colegas de música Chico Buarque, Gilberto Gil e Caetano Veloso. Nana confessa ter votado em Bolsonaro no segundo turno. ""Só de tirar PMDB e PT já é uma garantia de que a vida vai melhorar. Agora vêm dizer que os militares vão tomar conta? Isso é conversa de comunista. Gil, Caetano, Chico Buarque. Tudo chupador de pau de Lula. Então, vão pro Paraná fazer companhia a ele. Eu não me importo"", disse ela ( leia mais ). Assista:  Alguém que encontrar com Nana Caymmi da o recado por favor, obrigado! Valeu  @Martnalia sempre representando! #DitaduraNuncaMais   #DitaduraNaoSeComemora   pic.twitter.com/FBxyHujWbj
 
     ",cultura,"
        Martnália: alguém pode mandar Nana Caymmi à merda?
          ","A cantora Mart'nália reagiu aos ataques e xingamentos que a cantora Nana Caymmi desferiu contra os cantores Caetano Veloso, Gilberto Gil e Chico Buarque, por defenderem a liberdade do ex-presidente Lula; ""Alguém pode mandar a Nana Caymmi à merda? Pelo amor de Deus, manda à merda. Alguém manda ela à merda"", diz Mart'nália em vídeo que viralizou nas redes sociais; assista",03/04/2019 21:41:00,
Por Mayara Paixão,https://www.brasil247.com/pt/247/cultura/388633/Como-Florestan-Fernandes-ajuda-a-entender-as-contradi%C3%A7%C3%B5es-do-capitalismo-hoje.htm,"Por Mayara Paixão, no  Brasil de Fato  –  Os alunos que viam o professor Florestan Fernandes (1920 - 1995) entrar em sala de aula com avental branco, como um cientista, durante a década de 1960, na Universidade de São Paulo (USP), talvez não imaginassem a importância que o intelectual teria no país, mesmo duas décadas e meia após sua morte. Sociólogo e deputado federal por duas vezes pelo Partido dos Trabalhadores (PT), o multifacetado professor Florestan permanece atual e inspirando muitas pessoas. Tamanha a importância de suas formulações sociológicas à época da ditadura civil-militar, que o regime o exilou no ano de 1969. Quando retorna, ele participa ativamente de marcos da história brasileira, como a Assembleia Nacional Constituinte, que formulou a Constituição Cidadã (1988). Florestan é um dos principais intelectuais referenciados pela sociologia brasileira, e formulou importantes contribuições sobre o desenvolvimento do sistema capitalista no Brasil e a construção do Estado, após o restabelecimento da democracia. O projeto Clube do Livro, da editora e livraria Expressão Popular, lançou dois títulos do renomado professor brasileiro em março: Apontamentos sobre a ""Teoria do autoritarismo"" e Reflexões sobre a construção de um instrumento político. O Brasil de Fato conversou com Renata Couto Moreira, professora da Universidade Federal do Espírito Santo (UFES) e membro do Setor de Formação do Movimento dos Trabalhadores Rurais Sem Terra (MST), para entender as obras. Confira a íntegra: Brasil de Fato: o que Florestan denomina como autoritarismo? Renata Couto Moreira:  É importante trazer o contexto em que Florestan estava escrevendo as notas sobre o autoritarismo no curso em que ele dá na USP, em 1978, depois de um momento de exílio e dentro do governo da ditadura civil-militar. É nesse contexto que está posto todo o debate do autoritarismo e que vai propiciar a demanda dos estudantes da universidade por um curso sobre uma teorização do autoritarismo. E ele vai se debruçar sobre todo esse debate posto à época, e acho que no hoje. Florestan começa fazendo uma crítica do uso desse termo do autoritarismo como bastante ambíguo e como isso fazia com que se criasse uma confusão em torno do que se vivenciava na época. Momento do pós Segunda Guerra Mundial, um contexto de Guerra Fria, onde há experiências socialistas, principalmente da União Soviética, e ditaduras militares de governos fascistas estabelecidas na América Latina. Para ele, o autoritarismo tem uma ideia geral, e cabe tudo nele, desde uma versão de relações autoritárias de poder, até mesmo a sua versão mais tirânica e fascista, que Florestan associa ao poder e ao despotismo burguês, que estava posto nos golpes das ditaduras. Essa diferenciação é importante. O uso do termo na época, tentando misturar como se tivesse sido a mesma coisa que houve nos dois regimes [URSS e ditaduras latino-americanas] era justamente uma forma de justificar e aprofundar a caça ao comunismo e aos movimentos socialistas que estavam postos. E o que esse autoritarismo representa hoje? Florestan é um professor que já se coloca como cientista e político socialista e vai desenvolvendo uma leitura da essência do que estava ocorrendo. Ele mostra a estrutura do fascismo relacionada à forma como o Estado se desenvolve e assume no capitalismo dependente da América Latina e, em particular, do Brasil. Ele vai trabalhar exaustivamente na sua obra prima publicada em 1975, A revolução burguesa no Brasil, em que associa o Estado Democrático Burguês com elementos fascistas de governo e de manifestação do poder burguês. No capitalismo dependente, esse Estado terá suas especificidades e é o que Florestan caracteriza enquanto um estado autocrático burguês da periferia dependente do capitalismo. Temos bastante elementos que, quando lemos Florestan, parece que ele está falando do que estamos vivendo hoje. Mesmo hoje, com outras roupagens, dá para perceber que muito dessa análise estrutural que ele faz, ainda é determinante no capitalismo contemporâneo que vivemos. Na contramão desse sistema, o que o professor propõe para a organização do povo? Não tem nenhuma receita pronta. Na verdade são elementos que buscamos, em torno de leis gerais, para visualizar o sistema que vivemos e entender a nossa funcionalidade na reprodução dele. Na época em que Florestan estava escrevendo, vivíamos ainda o capitalismo monopolista, em que havia uma reconfiguração a partir das crises, como a dos anos 1930, que desemboca na Segunda Guerra Mundial. Houve uma reconfiguração do seu padrão de acumulação de riqueza, concentração e centralização de capital. Hoje, depois dessa nova crise que está posta dos anos 1970, os anos perdidos de 1980 e essa nova reconfiguração neoliberal dos anos 1990, vem todo um questionamento de como se estrutura o padrão de dominação do capitalismo atual, em que se vê uma dominância da esfera financeira e dos capitais fictícios em relação a um capital produtivo. Isso aprofunda a própria contradição e base de existência do capitalismo, à medida que envolve cada vez menos trabalho vivo no seu processo de produção e expropria cada vez mais os trabalhadores e os recursos naturais. Trazer essa análise e as perguntas que Florestan se fez para o hoje é muito importante nesse diálogo. As perguntas são muito vivas. Ele se pergunta 'Qual a capacidade de resistência e flexibilidade do capitalismo?'. Já teve todo esse processo e estamos ainda perante essa nova crise que desemboca em 2008, com o estouro da bolha e se manifesta rapidamente em todo lado desse capitalismo, agora globalizado. Mas Florestan também, desde aquela época, chama atenção ao que se aprofunda muito nos dias de hoje sobre o capital estrangeiro. São grandes oligopólios multinacionais sobre as economias e como isso vai reconfigurando e desconfigurando esse poder burguês, o Estado e a noção de democracia, que vai se reconfigurando nos governos e golpes que vemos hoje. Na América Latina e no Brasil, particularmente, há governos extremamente autoritários e conservadores, mas com roupagem de democracia e com uma política econômica ultraliberal. Os desafios que nós temos já estavam postos e muitos desses elementos que o autor se propõe a discutir de forma sistemática no seu tempo são bastante atuais e necessários ao nosso. Eles acrescentam contribuições bastante valorosas para a gente entender os nossos dilemas de hoje — de onde viemos, como e porquê — e os desafios que estão postos nesse processo de alienação do capital e, por outro lado, a capacidade do movimento socialista de aprofundar a sua leitura sistemática da realidade.",cultura,"
        Como Florestan Fernandes ajuda a entender as contradições do capitalismo hoje
          ","Florestan é um dos principais intelectuais referenciados pela sociologia brasileira, e formulou importantes contribuições sobre o desenvolvimento do sistema capitalista no Brasil e a construção do Estado, após o restabelecimento da democracia",30/03/2019 06:24:00,
247,https://www.brasil247.com/pt/247/brasil/389209/AGU-pede-que-Supremo-anule-acordo-que-criou-funda%C3%A7%C3%A3o-bilion%C3%A1ria-da-Lava-Jato.htm,"247 -  A Advocacia Geral da União (AGU) defendeu, em um parecer enviado ao ministro do Supremo Tribunal Federal (STF) Alexandre de Moraes, a nulidade do acordo de R$ 2,5 bilhões da Lava Jato com a Petrobrás. No documento, a AGU pede que ""os valores objeto das sanções impostas pelos Estados Unidos no caso revertam, em sua integralidade, à União"". O parecer contraria a intenção de integrantes da Lava Jato em utilizar os recursos para criar um fundo bilionário gerido pelos próprios procuradores do Ministério Público Federal no Paraná que integram a força-tarefa. O acordo foi homologado pela 13ª Vara Federal de Curitiba. Segundo o blog do jornalista Fausto Macedo, o acordo foi questionado pela própria Procuradoria-Geral da República (PGR), na Arguição de Descumprimento de Preceito Fundamental 568, que tem o ministro Alexandre de Moraes como relator. No parecer, a AGU pede que ""seja reconhecida a nulidade do acordo de assunção de obrigações celebrado entre o Ministério Público Federal e a Petrobrás"". A Advocacia Geral da União pede, ainda, que '""seja reconhecido que, no Brasil, a sanção aplicada nos Estados Unidos corresponde à multa própria prevista na Lei Anticorrupção (Lei nº 12.846/2013), de natureza administrativa e cuja competência para aplicação é da Controladoria-Geral da União"". ""Por fim, seja reconhecido que, diante das peculiaridades do acordo firmado pela Petrobrás com autoridades norte-americanas, em especial no que se refere à cláusula de não reversão das penalidades em benefício da Companhia brasileira, é excepcionalmente legítima a destinação fundiária dos valores devidos à União na espécie, mediante aplicação analógica da legislação do FUNPEN (artigo 2.º, inciso IV, da LC nº 79/1994)"", destaca o documento.  ",brasil,"
        AGU pede que Supremo anule acordo que criou fundação bilionária da Lava Jato
          ","AGU defendeu, em um parecer enviado ao ministro do STF Alexandre de Moraes, a nulidade do acordo de R$ 2,5 bilhões da Lava Jato com a Petrobrás; parecer contraria a intenção de integrantes da Lava Jato em utilizar os recursos para criar um fundo bilionário gerido pelos próprios procuradores do Ministério Público Federal no Paraná que integram a força-tarefa; no documento, a AGU pede que ""os valores objeto das sanções impostas pelos Estados Unidos no caso revertam, em sua integralidade, à União""",04/04/2019 15:38:00,
247,https://www.brasil247.com/pt/247/cultura/388653/Movimento-Paula-Lavigne-inaugura-campanha-contra-celebra%C3%A7%C3%A3o-de-golpe-de-64.htm,"247 -  A atriz e produtora Paula Lavigne abriu ofensiva contra o presidente Jair Bolsonaro. OP movimento 342 Artes, liderado por ela, vai inaugurar neste domingo (31) uma campanha para criticar a inciativa do governo de comemorar o golpe militar de 1964 pelo país. A informação é da  coluna de Lauro Jardim .  O 342 vai distribuir pelas ruas de São Paulo e Rio de Janeiro cartazes com textos como ""Ditadura nunca mais"" e ""64 nunca +"".",cultura,"
        Movimento Paula Lavigne inaugura campanha contra celebração de golpe de 64
          ","A atriz e produtora Paula Lavigne abriu ofensiva contra o presidente Jair Bolsonaro; o movimento 342 Artes, liderado por ela, vai inaugurar neste domingo (31) uma campanha para criticar a inciativa do governo de comemorar o golpe militar de 1964 pelo país",30/03/2019 09:32:00,
Do DCM,https://www.brasil247.com/pt/247/cultura/388493/Nana-Caymmi-defende-Bolsonaro-e-ataca-Chico-Gil-e-Caetano.htm,"Do  DCM  -  Em entrevista à Folha, Nana Caymmi defendeu Jair Bolsonaro e atacou seus colegas de música Chico Buarque, Gilberto Gil e Caetano Veloso. Nana confessa ter votado em Bolsonaro no segundo turno. ""É injusto não dar a esse homem um crédito de confiança. Um homem que estava fodido, esfaqueado, correndo pra fazer um ministério, sem noção da mutreta toda... Só de tirar PMDB e PT já é uma garantia de que a vida vai melhorar. Agora vêm dizer que os militares vão tomar conta? Isso é conversa de comunista. Gil, Caetano, Chico Buarque. Tudo chupador de pau de Lula. Então, vão pro Paraná fazer companhia a ele. Eu não me importo."" Em outro momento da entrevista, diz que Gilberto Gil ""adora aparecer"". ""Gil é maluco, adora aparecer. Se pudesse, dormia no palco. E ele tá cansado. Chega, está cantando há séculos e aos gritos. Eu falei: 'Gil, não grita', 'Gil, não grita'. Mas conselho não se dá. Por que Caetano tem a voz que tem, a mesma desde que nasceu entre as pernas de dona Canô? Não há possibilidade de ele dar um grito. Só dá grito quando ele tá furioso com a Paula [Lavigne] ou se é pra falar de jornalista.""",cultura,"
        Nana Caymmi defende Bolsonaro e ataca Chico, Gil e Caetano
          ","Em entrevista à Folha, Nana Caymmi defendeu Jair Bolsonaro e atacou seus colegas de música Chico Buarque, Gilberto Gil e Caetano Veloso. Nana confessa ter votado em Bolsonaro no segundo turno; ""Só de tirar PMDB e PT já é uma garantia de que a vida vai melhorar. Agora vêm dizer que os militares vão tomar conta? Isso é conversa de comunista. Gil, Caetano, Chico Buarque. Tudo chupador de pau de Lula. Então, vão pro Paraná fazer companhia a ele. Eu não me importo""",28/03/2019 20:22:00,
